Country,City,Latitude,Longitude
ad,aixas,42.4833333,1.4666667
ad,aixirivali,42.4666667,1.5
ad,aixirivall,42.4666667,1.5
ad,aixirvall,42.4666667,1.5
ad,aixovall,42.4666667,1.4833333
ad,andorra,42.5,1.5166667
ad,andorra la vella,42.5,1.5166667
ad,andorra-vieille,42.5,1.5166667
ad,andorre,42.5,1.5166667
ad,andorre-la-vieille,42.5,1.5166667
ad,andorre-vieille,42.5,1.5166667
ad,ansalonga,42.5666667,1.5166667
ad,anyos,42.5333333,1.5333333
ad,arans,42.5833333,1.5166667
ad,arinsal,42.5666667,1.4833333
ad,aubinya,42.45,1.5
ad,auvinya,42.45,1.5
ad,bicisarri,42.4833333,1.4666667
ad,bixessarri,42.4833333,1.4666667
ad,bixisarri,42.4833333,1.4666667
ad,canillo,42.5666667,1.6
ad,casas vila,42.5333333,1.5666667
ad,certers,42.4666667,1.5
ad,certes,42.4666667,1.5
ad,eixirivall,42.4666667,1.5
ad,el pui,42.55,1.5166667
ad,els bons,42.5333333,1.5833333
ad,el serrat,42.6166667,1.55
ad,els plans,42.5833333,1.6333333
ad,el tarter,42.5833333,1.65
ad,el tremat,42.55,1.5833333
ad,el vilar,42.5666667,1.6
ad,encamp,42.5333333,1.5833333
ad,engordany,42.5166667,1.55
ad,ercs,42.5666667,1.5
ad,ercz,42.5666667,1.5
ad,erez,42.5666667,1.5
ad,erts,42.5666667,1.5
ad,escaldas,42.5,1.5333333
ad,escaldes,42.5,1.5333333
ad,escas,42.55,1.5166667
ad,fontaneda,42.45,1.4666667
ad,juberri,42.4333333,1.5
ad,juverri,42.4333333,1.5
ad,la cortinada,42.5666667,1.5166667
ad,la costa,42.5833333,1.6333333
ad,l'aldosa,42.5833333,1.6333333
ad,l'aldosa,42.55,1.5333333
ad,la macana,42.55,1.5166667
ad,la massana,42.55,1.5166667
ad,las escadas,42.5,1.5333333
ad,la vieja,42.5,1.5166667
ad,les bons,42.5333333,1.5833333
ad,les escaldes,42.5,1.5333333
ad,llors,42.6,1.5333333
ad,llorta,42.6,1.5333333
ad,llorts,42.6,1.5333333
ad,llumeneres,42.4666667,1.5166667
ad,lors,42.6,1.5333333
ad,lo serrat,42.6166667,1.55
ad,mas d'alins,42.4333333,1.45
ad,mas de ribafeta,42.5666667,1.4833333
ad,meritxell,42.55,1.6
ad,molleres,42.55,1.5833333
ad,mosquera,42.55,1.5833333
ad,nagol,42.4666667,1.5
ad,ordino,42.55,1.5333333
ad,pal,42.55,1.4833333
ad,pas de la casa,42.55,1.7333333
ad,prats,42.5666667,1.6
ad,puiol del piu,42.5666667,1.5
ad,ransol,42.5833333,1.6333333
ad,sanctuaire de meritxeli,42.55,1.6
ad,sanctuaire de meritxell,42.55,1.6
ad,san joan de casettas,42.5666667,1.6166667
ad,san julia,42.4666667,1.5
ad,santa coloma,42.5,1.5
ad,santa julia de loria,42.4666667,1.5
ad,sant joan de casellas,42.5666667,1.6166667
ad,sant joan de caselles,42.5666667,1.6166667
ad,sant julia de loria,42.4666667,1.5
ad,sant julia,42.4666667,1.5
ad,sant pere,42.5833333,1.65
ad,santuari de meritxell,42.55,1.6
ad,segudet,42.55,1.5333333
ad,sertes,42.4666667,1.5
ad,sispony,42.5333333,1.5166667
ad,soldeu,42.5833333,1.6666667
ad,sornas,42.5666667,1.5333333
ad,vila,42.5333333,1.5666667
ad,vixesarri,42.4833333,1.4666667
ad,xixerella,42.55,1.4833333
ae,abu dabi,24.466667,54.366667
ae,abu dhabi,24.466667,54.366667
ae,abu hail,25.285475,55.329611
ae,abu zabi,24.466667,54.366667
ae,abu zabye,24.466667,54.366667
ae,abu zabyo,24.466667,54.366667
ae,ad dharbaniya,25.783333,55.933333
ae,adgat,25.498669,56.358302
ae,adh dhaid,25.288123,55.881571
ae,adhin,25.460122,56.012562
ae,afarah,25.041055,56.314853
ae,`ain,24.212717,55.783488
ae,ain al ghamur,24.959508,56.315852
ae,`ain dhawahir,24.212717,55.783488
ae,ajima,25.398308,56.150726
ae,akamiya,25.600312,56.269097
ae,al abadilah,25.453529,56.18991
ae,al ain,24.191667,55.760556
ae,al ajman,25.406942,55.444126
ae,al `ayn,24.959508,56.315852
ae,al `ayn al ghamur,24.959508,56.315852
ae,al badiyah,25.432273,56.345736
ae,al bithnah,25.189507,56.235157
ae,al daid,25.288123,55.881571
ae,al-dhayd,25.288123,55.881571
ae,al dini,25.932264,56.405128
ae,al duss,25.907278,56.393
ae,al fai,26.021389,56.091389
ae,al fiyya,24.298014,53.211395
ae,al-fudjayra,25.116412,56.341408
ae,al fuqait,25.599658,56.342487
ae,al fuyay',24.298014,53.211395
ae,al-ghil,25.401739,56.068063
ae,algida,25.996111,56.084167
ae,al gissemari,25.143423,56.248397
ae,al hagarein,24.798996,56.115379
ae,al haira,25.38148,55.419551
ae,al hairah,25.38148,55.419551
ae,alhala,25.477378,56.182437
ae,al hama'im,22.95805,54.297206
ae,al hamra',25.709102,55.807724
ae,al hamriya,25.478194,55.533768
ae,al hayir,25.978611,56.085278
ae,al hayl,25.092227,56.24418
ae,al hayl,25.704979,55.987009
ae,al hinya,25.350928,56.025345
ae,al-hirah,25.38148,55.419551
ae,al-humaimah,22.95805,54.297206
ae,al ian,24.212717,55.783488
ae,aliya,25.353969,55.37189
ae,al jazirah al hamra',25.709102,55.807724
ae,al jima,24.24914,55.745824
ae,al jimi,24.24914,55.745824
ae,al khalabiya,25.381235,56.173576
ae,al kharan,25.716175,55.967757
ae,al khatt,25.617288,56.011128
ae,al khawiya,25.995584,56.380513
